iter	Accuracy	Logloss
0	0.7983193277	0.6325980454
1	0.8333333333	0.5812684471
2	0.8417366947	0.5395462932
3	0.8403361345	0.509364238
4	0.8277310924	0.4900930511
5	0.8431372549	0.4652804074
6	0.8473389356	0.4470447966
7	0.8445378151	0.4267442662
8	0.8515406162	0.4135302748
9	0.8543417367	0.3971400499
10	0.8515406162	0.3885313645
11	0.8529411765	0.3836683856
12	0.8515406162	0.3800171628
13	0.8557422969	0.3702153654
14	0.8585434174	0.3596593268
15	0.8585434174	0.3527905536
16	0.8669467787	0.347903652
17	0.8711484594	0.3417758417
18	0.8725490196	0.3372244671
19	0.8739495798	0.3339375198
20	0.8739495798	0.3318926285
21	0.8781512605	0.326025038
22	0.8795518207	0.3218691266
23	0.880952381	0.3217896193
24	0.8795518207	0.3197999126
25	0.8823529412	0.3166480289
26	0.8851540616	0.3132982881
27	0.8837535014	0.3096711764
28	0.8837535014	0.3089869991
29	0.8865546218	0.3050330975
30	0.8879551821	0.3046136944
31	0.8879551821	0.3044166802
32	0.8879551821	0.3033682985
33	0.8907563025	0.3011335301
34	0.8893557423	0.2980789165
35	0.8893557423	0.2947432757
36	0.893557423	0.292459727
37	0.8977591036	0.2887990929
38	0.9005602241	0.2869190103
39	0.9033613445	0.2850907757
40	0.906162465	0.282921844
41	0.906162465	0.2817516027
42	0.9075630252	0.2802836067
43	0.9089635854	0.2775044157
44	0.9103641457	0.2747990536
45	0.9089635854	0.2747042026
46	0.9089635854	0.2743946495
47	0.9089635854	0.2725991834
48	0.9089635854	0.2712977186
49	0.9089635854	0.2712041647
50	0.9089635854	0.2709318893
51	0.9117647059	0.2688926144
52	0.9131652661	0.2667591717
53	0.9131652661	0.2646973679
54	0.9131652661	0.263940719
55	0.9145658263	0.2626345714
56	0.9173669468	0.2614887649
57	0.9159663866	0.2612930474
58	0.9159663866	0.2601238237
59	0.9159663866	0.2584690892
60	0.9145658263	0.2574778344
61	0.9145658263	0.2560168283
62	0.9159663866	0.2543538277
63	0.9159663866	0.252150923
64	0.9159663866	0.2501493599
65	0.9173669468	0.2483839154
66	0.918767507	0.2468495609
67	0.918767507	0.2455762147
68	0.9215686275	0.2436605416
69	0.9215686275	0.2425015348
70	0.9215686275	0.24081483
71	0.9229691877	0.2398362158
72	0.9215686275	0.2379294234
73	0.9215686275	0.2359201794
74	0.9215686275	0.2341482976
75	0.9243697479	0.2325744347
76	0.9257703081	0.2296177996
77	0.9257703081	0.2284091806
78	0.9257703081	0.2268061506
79	0.9257703081	0.225061633
80	0.9271708683	0.2237262784
81	0.9299719888	0.2222499989
82	0.9327731092	0.221066655
83	0.9341736695	0.2203973179
84	0.9341736695	0.2192127056
85	0.9341736695	0.218186918
86	0.9355742297	0.2156113211
87	0.9355742297	0.215060746
88	0.9355742297	0.213935885
89	0.9355742297	0.213489193
90	0.9355742297	0.2120810104
91	0.9369747899	0.2105182191
92	0.9383753501	0.2093361472
93	0.9383753501	0.2079870662
94	0.9383753501	0.2074425221
95	0.9369747899	0.205739875
96	0.9383753501	0.2039250796
97	0.9383753501	0.2024216947
98	0.9383753501	0.2017257999
99	0.9383753501	0.2011608786
100	0.9383753501	0.2002447084
101	0.9383753501	0.199492939
102	0.9383753501	0.1987807615
103	0.9411764706	0.1971725923
104	0.9425770308	0.1963390751
105	0.9425770308	0.1955216578
106	0.9425770308	0.1947290061
107	0.9425770308	0.1932405621
108	0.9425770308	0.19233275
109	0.9425770308	0.1911005452
110	0.9425770308	0.1900282928
111	0.9425770308	0.1891702164
112	0.9425770308	0.1877144532
113	0.9425770308	0.1872801559
114	0.9425770308	0.1868228613
115	0.9425770308	0.186637346
116	0.9425770308	0.1858532772
117	0.9425770308	0.1845065925
118	0.9425770308	0.1841943047
119	0.9425770308	0.183792626
120	0.9425770308	0.1827439991
121	0.9425770308	0.182228654
122	0.9425770308	0.181119445
123	0.9425770308	0.1803554212
124	0.9425770308	0.1793175024
125	0.9425770308	0.1783786121
126	0.9425770308	0.177856086
127	0.9425770308	0.1767560097
128	0.9425770308	0.1760293811
129	0.943977591	0.1750914572
130	0.9453781513	0.1746108947
131	0.9453781513	0.1740619335
132	0.9453781513	0.1735106282
133	0.9453781513	0.1732036827
134	0.9453781513	0.1723031613
135	0.9453781513	0.1716371163
136	0.9453781513	0.1714964199
137	0.9453781513	0.1707224522
138	0.9453781513	0.1695610933
139	0.9453781513	0.1693337787
140	0.9453781513	0.1685507362
141	0.9453781513	0.1680841907
142	0.9453781513	0.1672649228
143	0.9453781513	0.1667018256
144	0.9481792717	0.1660475458
145	0.9481792717	0.1656271802
146	0.9481792717	0.1649919799
147	0.9495798319	0.1645842187
148	0.9495798319	0.1637726465
149	0.9495798319	0.1635391432
150	0.9495798319	0.1628592967
151	0.9495798319	0.1625922762
152	0.9495798319	0.1617915318
153	0.9495798319	0.1613664515
154	0.9495798319	0.1610770801
155	0.9495798319	0.1607847207
156	0.9495798319	0.1604218407
157	0.9481792717	0.1598345486
158	0.9481792717	0.1593110576
159	0.9481792717	0.1588240553
160	0.9481792717	0.1582698808
161	0.9481792717	0.1577248068
162	0.9481792717	0.1571336722
163	0.9481792717	0.1570153905
164	0.9495798319	0.1565942372
165	0.9495798319	0.1563821267
166	0.9495798319	0.1558010551
167	0.9495798319	0.1553137567
168	0.9495798319	0.1549600622
169	0.9495798319	0.1547327493
170	0.9495798319	0.1542743793
171	0.9495798319	0.1536186083
172	0.9495798319	0.1530674147
173	0.9495798319	0.152756315
174	0.9495798319	0.1524646973
175	0.9495798319	0.1522837967
176	0.9495798319	0.1519026426
177	0.9495798319	0.1513352645
178	0.9495798319	0.1508880233
179	0.9495798319	0.1507980952
180	0.9495798319	0.1505302192
181	0.9495798319	0.1502003654
182	0.9495798319	0.1499121517
183	0.9495798319	0.149708746
184	0.9495798319	0.1493198939
185	0.9495798319	0.1491790636
186	0.9495798319	0.1489656577
187	0.9495798319	0.1486916649
188	0.9509803922	0.1481557789
189	0.9509803922	0.1478229067
190	0.9509803922	0.1475493194
191	0.9523809524	0.1470807056
192	0.9509803922	0.1467838645
193	0.9509803922	0.1465109732
194	0.9509803922	0.1462241054
195	0.9509803922	0.1457748206
196	0.9509803922	0.1454769743
197	0.9509803922	0.1452004202
198	0.9523809524	0.1446944681
