iter	Passed	Remaining
0	57	57860
1	111	55466
2	174	58106
3	223	55754
4	281	55994
5	355	58937
6	412	58515
7	479	59481
8	545	60040
9	627	62136
10	676	60860
11	731	60239
12	789	59976
13	869	61211
14	938	61653
15	1011	62213
16	1077	62285
17	1144	62456
18	1204	62203
19	1263	61891
20	1314	61263
21	1384	61568
22	1454	61778
23	1500	61002
24	1570	61256
25	1630	61086
26	1702	61359
27	1782	61862
28	1839	61607
29	1913	61869
30	1961	61326
31	2011	60833
32	2069	60648
33	2146	60982
34	2213	61025
35	2290	61322
36	2363	61514
37	2424	61382
38	2490	61379
39	2550	61207
40	2618	61238
41	2694	61450
42	2749	61184
43	2817	61215
44	2895	61453
45	2955	61286
46	3005	60939
47	3082	61139
48	3131	60780
49	3189	60595
50	3248	60444
51	3315	60439
52	3389	60567
53	3463	60667
54	3520	60491
55	3556	59954
56	3603	59615
57	3633	59014
58	3679	58679
59	3723	58338
60	3795	58427
61	3869	58545
62	3938	58579
63	3987	58313
64	4033	58025
65	4079	57737
66	4122	57414
67	4200	57573
68	4275	57690
69	4338	57634
70	4414	57762
71	4475	57682
72	4548	57759
73	4624	57872
74	4682	57753
75	4752	57784
76	4829	57896
77	4886	57765
78	4956	57786
79	5025	57791
80	5097	57839
81	5171	57894
82	5249	57993
83	5320	58023
84	5386	57981
85	5458	58007
86	5535	58091
87	5589	57930
88	5664	57984
89	5722	57860
90	5772	57659
91	5823	57471
92	5897	57520
93	5973	57573
94	6049	57626
95	6122	57655
96	6194	57667
97	6270	57711
98	6345	57746
99	6415	57737
100	6486	57734
101	6558	57736
102	6624	57688
103	6697	57705
104	6770	57708
105	6843	57720
106	6910	57676
107	6982	57672
108	7052	57645
109	7129	57681
110	7198	57650
111	7267	57624
112	7347	57674
113	7420	57670
114	7486	57610
115	7547	57520
116	7620	57512
117	7690	57483
118	7766	57495
119	7818	57338
120	7890	57317
121	7963	57313
122	8038	57311
123	8109	57292
124	8183	57284
125	8256	57269
126	8327	57243
127	8397	57207
128	8473	57210
129	8549	57217
130	8616	57161
131	8684	57103
132	8758	57093
133	8822	57018
134	8889	56959
135	8964	56949
136	9032	56896
137	9095	56816
138	9167	56788
139	9238	56753
140	9316	56757
141	9380	56681
142	9454	56662
143	9527	56632
144	9603	56624
145	9658	56496
146	9731	56467
147	9801	56425
148	9873	56393
149	9934	56296
150	10003	56243
151	10078	56229
152	10151	56195
153	10221	56154
154	10291	56107
155	10365	56082
